FIPS,Name,2023 Rural-urban Continuum Code*,1970,1980,1990,2000,2008-2012,2018-2022
12109,"St. Johns, FL        ",1,30.4%,35.3%,29.2%,24.5%,21.7%,20.9%
12111,"St. Lucie, FL        ",2,28.1%,36.2%,33.3%,32.7%,34.1%,30.8%
12113,"Santa Rosa, FL        ",2,34.0%,38.9%,28.8%,29.2%,27.6%,27.3%
12115,"Sarasota, FL        ",2,34.1%,36.8%,31.7%,30.1%,31.0%,26.4%
12117,"Seminole, FL        ",1,32.8%,36.1%,26.3%,24.4%,24.8%,21.3%
12119,"Sumter, FL        ",3,27.1%,35.8%,38.1%,38.8%,34.2%,29.2%
12121,"Suwannee, FL        ",6,22.9%,36.2%,37.6%,38.8%,42.3%,40.5%
12123,"Taylor, FL        ",6,25.0%,34.0%,36.2%,40.9%,37.8%,44.1%
12125,"Union, FL        ",8,24.7%,32.8%,36.0%,38.9%,38.2%,39.2%
12127,"Volusia, FL        ",2,33.1%,36.6%,32.4%,32.3%,32.5%,30.9%
12129,"Wakulla, FL        ",2,24.0%,38.9%,39.0%,34.9%,38.2%,36.7%
12131,"Walton, FL        ",2,25.0%,30.4%,31.1%,32.3%,30.8%,28.1%
12133,"Washington, FL        ",3,22.6%,35.8%,37.3%,38.8%,40.6%,42.6%
53000,Washington,,36.2%,37.4%,27.9%,24.9%,23.6%,21.8%
53001,"Adams, WA        ",6,36.4%,37.1%,29.6%,26.2%,26.6%,31.3%
53003,"Asotin, WA        ",3,32.8%,43.6%,33.5%,32.7%,35.1%,31.3%
53005,"Benton, WA        ",2,38.2%,37.3%,27.7%,24.0%,24.2%,23.3%
53007,"Chelan, WA        ",3,33.4%,35.2%,28.5%,25.7%,28.8%,24.7%
53009,"Clallam, WA        ",5,35.0%,39.9%,31.0%,27.8%,27.4%,24.2%
53011,"Clark, WA        ",1,36.7%,40.0%,30.4%,27.0%,25.7%,24.9%
53013,"Columbia, WA        ",8,29.5%,45.6%,28.6%,30.5%,27.9%,20.1%
53015,"Cowlitz, WA        ",3,37.3%,40.9%,33.4%,32.7%,30.1%,31.8%
53017,"Douglas, WA        ",3,36.8%,39.1%,30.9%,29.5%,28.5%,27.6%
53019,"Ferry, WA        ",8,35.3%,40.8%,34.6%,34.4%,36.8%,31.9%
53021,"Franklin, WA        ",2,39.0%,38.1%,28.4%,23.8%,25.3%,26.0%
53023,"Garfield, WA        ",8,37.0%,39.3%,34.3%,29.5%,28.5%,24.5%
53025,"Grant, WA        ",5,35.8%,38.6%,30.9%,27.8%,28.2%,28.5%
53027,"Grays Harbor, WA        ",4,35.7%,41.2%,35.9%,34.3%,31.3%,35.3%
53029,"Island, WA        ",4,41.3%,41.5%,31.6%,24.3%,24.6%,21.6%
53031,"Jefferson, WA        ",6,36.6%,38.9%,31.2%,27.2%,23.1%,20.6%
53033,"King, WA        ",1,35.4%,33.7%,22.8%,19.2%,17.0%,14.7%
53035,"Kitsap, WA        ",2,38.8%,40.1%,29.5%,25.4%,23.7%,21.4%
53037,"Kittitas, WA        ",4,31.0%,33.9%,30.1%,31.0%,29.0%,26.5%
53039,"Klickitat, WA        ",9,34.0%,42.5%,34.9%,34.3%,33.5%,26.7%
53041,"Lewis, WA        ",4,35.8%,40.1%,34.9%,32.9%,32.1%,30.4%
53043,"Lincoln, WA        ",8,36.6%,39.6%,31.6%,31.3%,33.5%,26.9%
53045,"Mason, WA        ",4,35.9%,40.9%,34.0%,32.5%,30.8%,30.2%
53047,"Okanogan, WA        ",6,34.3%,39.3%,32.0%,30.8%,32.4%,29.6%
53049,"Pacific, WA        ",7,35.9%,43.4%,37.4%,31.5%,32.5%,29.5%
53051,"Pend Oreille, WA        ",8,32.5%,41.0%,34.7%,33.3%,33.5%,32.1%
53053,"Pierce, WA        ",1,38.9%,41.3%,33.1%,29.8%,29.2%,26.4%
53055,"San Juan, WA        ",9,36.3%,30.5%,22.2%,18.7%,17.7%,15.9%
53057,"Skagit, WA        ",3,35.1%,40.7%,30.6%,26.3%,25.1%,25.7%
53059,"Skamania, WA        ",1,37.5%,44.2%,36.0%,33.4%,31.4%,31.3%
53061,"Snohomish, WA        ",1,39.2%,39.9%,29.7%,25.9%,24.7%,22.9%
53063,"Spokane, WA        ",2,36.9%,37.8%,27.9%,26.8%,25.3%,23.4%
53065,"Stevens, WA        ",2,36.2%,43.7%,38.3%,35.5%,31.7%,33.6%
53067,"Thurston, WA        ",2,38.5%,37.8%,27.2%,23.8%,23.2%,22.0%
53069,"Wahkiakum, WA        ",8,32.5%,41.2%,40.2%,32.2%,34.5%,28.0%
53071,"Walla Walla, WA        ",3,32.7%,34.4%,26.7%,24.1%,22.3%,21.9%
53073,"Whatcom, WA        ",3,37.3%,38.8%,30.6%,27.6%,22.8%,21.9%
53075,"Whitman, WA        ",4,30.7%,27.3%,20.8%,19.2%,19.5%,14.3%
53077,"Yakima, WA        ",2,29.4%,34.4%,27.1%,27.4%,26.6%,28.4%
41000,Oregon,,35.0%,37.1%,28.9%,26.3%,24.8%,22.5%
41001,"Baker, OR        ",7,33.4%,37.7%,35.4%,31.4%,33.0%,28.2%
41003,"Benton, OR        ",3,29.0%,27.0%,18.0%,15.4%,15.8%,14.6%
41005,"Clackamas, OR        ",1,35.8%,38.2%,27.2%,24.1%,23.7%,21.6%
41007,"Clatsop, OR        ",4,34.4%,40.1%,31.7%,29.0%,28.9%,27.1%
41009,"Columbia, OR        ",1,36.0%,44.0%,37.8%,35.2%,34.0%,33.4%
41011,"Coos, OR        ",5,33.4%,39.2%,32.7%,30.7%,31.6%,31.0%
41013,"Crook, OR        ",3,36.7%,44.4%,39.0%,38.9%,35.2%,31.2%
41015,"Curry, OR        ",7,35.4%,39.4%,36.1%,32.1%,29.9%,26.0%
41017,"Deschutes, OR        ",3,37.6%,39.9%,30.6%,27.2%,23.3%,19.2%
41019,"Douglas, OR        ",4,34.4%,40.7%,34.7%,34.7%,32.7%,32.6%
41021,"Gilliam, OR        ",9,43.5%,37.9%,33.6%,35.1%,31.8%,28.9%
41023,"Grant, OR        ",9,35.2%,40.8%,40.2%,37.3%,35.2%,32.9%
41025,"Harney, OR        ",9,34.0%,45.4%,39.7%,38.3%,37.2%,38.8%
41027,"Hood River, OR        ",6,36.4%,40.9%,30.1%,26.6%,27.4%,21.1%
41029,"Jackson, OR        ",3,34.9%,39.1%,32.3%,30.1%,27.9%,25.7%
41031,"Jefferson, OR        ",3,35.2%,38.2%,36.0%,31.7%,34.2%,29.2%
41033,"Josephine, OR        ",3,33.6%,38.6%,33.8%,31.0%,31.5%,31.1%
41035,"Klamath, OR        ",5,36.8%,43.5%,34.5%,34.1%,31.5%,33.7%
41037,"Lake, OR        ",9,33.5%,37.9%,36.1%,33.4%,34.0%,32.5%
41039,"Lane, OR        ",2,34.9%,35.2%,27.8%,25.9%,25.1%,22.7%
41041,"Lincoln, OR        ",5,35.0%,38.7%,34.0%,29.0%,27.9%,24.1%
41043,"Linn, OR        ",3,36.2%,41.2%,34.1%,33.0%,32.6%,29.5%
41045,"Malheur, OR        ",6,33.2%,36.1%,31.1%,30.5%,30.1%,31.1%
41047,"Marion, OR        ",2,35.3%,37.2%,29.2%,26.3%,26.6%,25.2%
41049,"Morrow, OR        ",8,37.8%,41.5%,35.3%,32.1%,33.4%,32.7%
41051,"Multnomah, OR        ",1,34.7%,34.9%,26.2%,23.0%,19.6%,16.8%
41053,"Polk, OR        ",2,32.6%,33.6%,28.5%,25.8%,25.9%,23.1%
41055,"Sherman, OR        ",9,36.8%,40.8%,33.5%,32.9%,30.7%,34.6%
41057,"Tillamook, OR        ",7,35.4%,41.8%,35.9%,37.0%,34.6%,27.9%
41059,"Umatilla, OR        ",4,34.6%,40.1%,32.7%,29.6%,30.1%,31.4%
41061,"Union, OR        ",7,35.9%,39.6%,34.5%,31.0%,33.2%,33.2%
41063,"Wallowa, OR        ",9,35.4%,44.2%,37.6%,36.7%,34.1%,27.2%
41065,"Wasco, OR        ",7,38.1%,43.9%,36.4%,34.0%,26.6%,26.7%
41067,"Washington, OR        ",1,36.5%,34.0%,22.8%,20.1%,18.9%,17.2%
41069,"Wheeler, OR        ",9,34.1%,47.8%,39.3%,37.2%,38.9%,32.2%
41071,"Yamhill, OR        ",1,33.8%,38.3%,32.2%,30.8%,30.5%,24.4%
13000,Georgia,,22.4%,28.5%,29.6%,28.7%,28.9%,27.1%
13001,"Appling, GA        ",7,20.9%,27.5%,34.4%,37.2%,44.0%,38.1%
13003,"Atkinson, GA        ",9,13.6%,24.5%,33.8%,36.0%,38.4%,34.7%
13005,"Bacon, GA        ",9,13.2%,29.6%,39.9%,44.0%,44.5%,38.2%
13007,"Baker, GA        ",8,14.5%,18.8%,32.7%,40.4%,47.4%,35.9%
13009,"Baldwin, GA        ",4,14.8%,26.1%,33.9%,35.4%,37.2%,31.9%
13011,"Banks, GA        ",8,11.6%,28.5%,36.3%,38.3%,43.4%,34.3%
13013,"Barrow, GA        ",1,15.7%,21.8%,32.0%,36.0%,34.8%,33.6%
13015,"Bartow, GA        ",1,17.9%,25.5%,34.4%,34.2%,38.3%,37.2%
13017,"Ben Hill, GA        ",7,16.5%,25.2%,35.6%,37.2%,37.3%,51.3%
13019,"Berrien, GA        ",8,14.4%,27.9%,34.7%,34.6%,34.7%,38.4%
13021,"Bibb, GA        ",3,24.6%,30.4%,31.4%,31.7%,32.3%,30.7%
13023,"Bleckley, GA        ",6,15.9%,27.2%,31.7%,35.8%,42.1%,31.9%
13025,"Brantley, GA        ",3,25.0%,36.8%,44.8%,47.4%,45.2%,43.3%
13027,"Brooks, GA        ",3,14.9%,24.5%,36.0%,37.1%,38.4%,37.2%
13029,"Bryan, GA        ",2,14.0%,30.3%,37.3%,32.8%,26.8%,25.0%
13031,"Bulloch, GA        ",4,18.2%,24.3%,30.6%,29.7%,30.2%,28.7%
13033,"Burke, GA        ",2,10.4%,21.9%,33.1%,37.0%,40.1%,37.8%
13035,"Butts, GA        ",1,16.9%,29.3%,36.8%,39.9%,42.4%,42.7%
13037,"Calhoun, GA        ",8,9.2%,18.6%,30.1%,33.8%,34.0%,39.6%
13039,"Camden, GA        ",4,26.5%,31.8%,35.9%,33.2%,32.1%,32.4%
13043,"Candler, GA        ",9,11.7%,22.0%,29.6%,29.3%,44.4%,35.5%
13045,"Carroll, GA        ",1,17.3%,26.3%,31.9%,34.2%,35.2%,34.3%
13047,"Catoosa, GA        ",2,30.6%,36.4%,34.1%,34.8%,31.1%,32.3%
13049,"Charlton, GA        ",8,19.3%,30.7%,36.0%,42.1%,36.0%,45.2%
13051,"Chatham, GA        ",2,28.9%,31.5%,30.0%,26.9%,28.3%,24.9%
13053,"Chattahoochee, GA        ",2,40.5%,42.8%,32.2%,23.1%,24.6%,23.4%
13055,"Chattooga, GA        ",6,18.0%,21.6%,31.8%,34.6%,37.6%,38.4%
13057,"Cherokee, GA        ",1,19.1%,30.1%,30.6%,27.3%,23.6%,22.6%
13059,"Clarke, GA        ",3,21.6%,20.0%,22.6%,21.6%,22.0%,18.6%
13061,"Clay, GA        ",9,8.1%,19.8%,23.7%,35.5%,40.8%,34.4%
13063,"Clayton, GA        ",1,33.4%,40.2%,35.8%,31.9%,32.2%,33.2%
13065,"Clinch, GA        ",8,17.1%,21.8%,30.8%,32.4%,39.8%,36.8%
13067,"Cobb, GA        ",1,29.2%,30.7%,24.3%,20.8%,19.7%,17.8%
13069,"Coffee, GA        ",7,16.5%,23.5%,29.6%,33.0%,39.1%,39.4%
13071,"Colquitt, GA        ",6,21.4%,26.8%,32.5%,35.8%,36.7%,37.0%
13073,"Columbia, GA        ",2,27.7%,35.4%,30.5%,25.8%,25.5%,23.0%
13075,"Cook, GA        ",6,18.9%,25.7%,34.6%,36.0%,38.7%,34.4%
13077,"Coweta, GA        ",1,17.2%,26.5%,35.4%,32.8%,32.0%,26.0%
13079,"Crawford, GA        ",3,17.1%,28.5%,39.3%,39.6%,36.9%,41.4%
13081,"Crisp, GA        ",6,16.5%,25.9%,32.0%,34.5%,35.9%,39.0%
13083,"Dade, GA        ",2,18.8%,27.1%,29.9%,30.4%,35.6%,36.7%
13085,"Dawson, GA        ",1,10.7%,25.6%,33.7%,33.2%,33.9%,21.9%
13087,"Decatur, GA        ",6,17.0%,27.6%,29.5%,33.5%,33.7%,34.6%
13089,"DeKalb, GA        ",1,28.3%,28.2%,23.3%,20.3%,21.9%,20.3%
13091,"Dodge, GA        ",7,15.7%,24.3%,34.3%,36.6%,42.4%,41.7%
13093,"Dooly, GA        ",8,11.5%,16.5%,31.8%,37.8%,42.7%,42.6%
13095,"Dougherty, GA        ",3,27.9%,29.9%,28.8%,28.3%,28.9%,29.6%
13097,"Douglas, GA        ",1,25.0%,36.6%,38.0%,34.6%,31.3%,30.1%
13099,"Early, GA        ",8,12.6%,23.0%,29.2%,33.5%,41.0%,40.8%
13101,"Echols, GA        ",3,22.9%,31.4%,45.3%,35.6%,40.8%,46.4%
13103,"Effingham, GA        ",2,19.0%,33.8%,43.1%,40.4%,38.2%,33.6%
13105,"Elbert, GA        ",6,11.5%,26.4%,33.9%,39.2%,45.4%,40.5%
13107,"Emanuel, GA        ",7,15.6%,23.4%,30.0%,35.2%,40.5%,40.9%
13109,"Evans, GA        ",8,11.4%,26.9%,36.0%,39.2%,37.4%,38.2%
13111,"Fannin, GA        ",8,19.2%,28.0%,32.9%,38.9%,39.6%,34.4%
13113,"Fayette, GA        ",1,25.2%,37.2%,30.1%,24.0%,20.8%,20.7%
13115,"Floyd, GA        ",3,21.7%,27.4%,32.0%,33.2%,31.5%,32.6%
13117,"Forsyth, GA        ",1,20.2%,30.8%,30.7%,23.5%,20.4%,14.6%
13119,"Franklin, GA        ",8,13.3%,21.1%,28.5%,37.5%,37.1%,33.3%
13121,"Fulton, GA        ",1,23.0%,26.5%,22.3%,19.4%,18.7%,16.1%
13123,"Gilmer, GA        ",6,18.8%,23.7%,30.8%,33.3%,34.2%,34.9%
13125,"Glascock, GA        ",9,8.4%,21.6%,31.8%,40.3%,42.0%,39.4%
13127,"Glynn, GA        ",3,28.4%,31.9%,31.4%,29.3%,28.9%,26.8%
13129,"Gordon, GA        ",4,17.4%,27.1%,33.1%,34.1%,35.8%,35.0%
13131,"Grady, GA        ",6,17.6%,25.3%,34.1%,39.7%,39.9%,36.2%
13133,"Greene, GA        ",8,20.3%,21.8%,30.2%,33.3%,38.6%,30.4%
13135,"Gwinnett, GA        ",1,23.4%,32.9%,25.7%,22.0%,23.5%,22.5%
13137,"Habersham, GA        ",6,18.6%,24.6%,29.9%,33.7%,34.4%,33.7%
13139,"Hall, GA        ",3,18.8%,24.5%,30.0%,29.6%,30.2%,28.4%
13141,"Hancock, GA        ",9,10.8%,21.0%,34.1%,34.5%,43.5%,35.9%
13143,"Haralson, GA        ",1,21.9%,26.2%,33.6%,36.1%,38.1%,39.0%
13145,"Harris, GA        ",2,15.5%,24.7%,32.1%,29.4%,29.1%,26.6%
13147,"Hart, GA        ",6,11.9%,22.2%,32.9%,36.9%,38.1%,34.5%
13149,"Heard, GA        ",1,10.8%,22.6%,32.6%,41.7%,37.0%,42.4%
13151,"Henry, GA        ",1,19.5%,33.1%,38.1%,34.3%,31.4%,31.9%
13153,"Houston, GA        ",3,38.6%,40.0%,37.0%,32.4%,28.0%,27.2%
13155,"Irwin, GA        ",9,15.3%,25.1%,32.9%,38.5%,40.1%,36.3%
13157,"Jackson, GA        ",4,19.2%,25.3%,31.9%,35.5%,35.4%,32.3%
13159,"Jasper, GA        ",1,20.1%,24.3%,35.9%,37.2%,42.1%,44.1%
13161,"Jeff Davis, GA        ",9,18.8%,26.2%,32.5%,35.4%,43.8%,38.2%
13163,"Jefferson, GA        ",8,11.8%,21.6%,30.1%,34.0%,44.4%,41.5%
13165,"Jenkins, GA        ",9,9.8%,19.4%,29.4%,32.9%,35.3%,44.4%
13167,"Johnson, GA        ",9,14.0%,23.3%,36.6%,39.4%,36.1%,43.8%
13169,"Jones, GA        ",3,22.8%,33.3%,37.4%,41.0%,39.3%,41.4%
13171,"Lamar, GA        ",6,14.8%,27.1%,33.3%,37.0%,40.3%,35.9%
13173,"Lanier, GA        ",3,20.2%,24.1%,29.9%,34.2%,29.8%,41.0%
13175,"Laurens, GA        ",4,18.0%,26.2%,33.6%,37.1%,42.0%,41.7%
13177,"Lee, GA        ",3,14.6%,30.6%,32.5%,35.9%,30.5%,27.2%
13179,"Liberty, GA        ",3,27.0%,42.1%,40.0%,34.2%,32.8%,32.0%
13181,"Lincoln, GA        ",2,10.8%,26.7%,34.5%,36.3%,44.8%,41.7%
13183,"Long, GA        ",3,13.8%,33.0%,42.9%,41.6%,39.1%,41.5%
13185,"Lowndes, GA        ",3,27.2%,30.8%,31.7%,30.6%,31.3%,31.9%
13187,"Lumpkin, GA        ",1,14.3%,24.9%,30.5%,30.4%,33.1%,29.3%
13189,"McDuffie, GA        ",2,24.3%,26.2%,30.7%,35.2%,37.6%,40.1%
13191,"McIntosh, GA        ",3,17.1%,27.6%,33.2%,37.8%,38.5%,36.6%
13193,"Macon, GA        ",8,9.5%,18.7%,30.9%,35.2%,40.1%,39.1%
13195,"Madison, GA        ",3,15.5%,26.5%,37.1%,40.8%,38.0%,34.2%
13197,"Marion, GA        ",2,9.5%,22.8%,36.0%,36.1%,44.5%,36.7%
13199,"Meriwether, GA        ",1,16.3%,25.0%,32.1%,35.7%,39.1%,42.5%
13201,"Miller, GA        ",9,14.7%,23.8%,35.5%,35.9%,40.5%,29.9%
13205,"Mitchell, GA        ",6,15.0%,22.9%,33.0%,35.4%,39.1%,36.2%
13207,"Monroe, GA        ",3,16.0%,28.2%,33.1%,38.7%,35.2%,34.9%
13209,"Montgomery, GA        ",9,16.3%,28.2%,32.0%,39.4%,45.8%,38.5%
13211,"Morgan, GA        ",1,13.9%,21.9%,33.2%,37.1%,35.3%,35.5%
13213,"Murray, GA        ",3,17.5%,24.6%,31.2%,35.4%,38.6%,35.4%
13215,"Muscogee, GA        ",2,29.5%,32.6%,29.9%,28.2%,27.7%,27.1%
13217,"Newton, GA        ",1,19.3%,27.5%,32.7%,34.7%,32.6%,33.1%
13219,"Oconee, GA        ",3,23.4%,26.3%,27.2%,23.4%,18.6%,16.1%
13221,"Oglethorpe, GA        ",3,12.7%,26.1%,36.7%,37.4%,34.2%,38.9%
13223,"Paulding, GA        ",1,17.7%,30.0%,38.9%,39.1%,35.9%,30.1%
13225,"Peach, GA        ",3,16.3%,25.0%,31.0%,33.2%,31.9%,32.2%
13227,"Pickens, GA        ",1,11.7%,22.6%,34.0%,33.1%,33.4%,35.6%
13229,"Pierce, GA        ",8,19.9%,30.6%,39.1%,41.2%,40.9%,41.9%
13231,"Pike, GA        ",1,13.3%,28.8%,38.8%,40.1%,36.5%,37.3%
13233,"Polk, GA        ",4,19.1%,26.3%,31.3%,35.1%,38.4%,42.6%
13235,"Pulaski, GA        ",8,15.6%,24.5%,32.6%,36.2%,45.6%,36.0%
13237,"Putnam, GA        ",8,21.7%,28.0%,34.6%,40.5%,35.5%,34.1%
13239,"Quitman, GA        ",8,16.4%,21.9%,27.7%,34.1%,39.1%,37.2%
13241,"Rabun, GA        ",9,15.5%,24.4%,33.9%,35.0%,32.9%,29.9%
13243,"Randolph, GA        ",8,11.3%,20.0%,28.8%,32.5%,38.9%,34.8%
13245,"Richmond, GA        ",2,27.0%,32.0%,30.1%,29.6%,31.4%,32.2%
13247,"Rockdale, GA        ",1,23.3%,35.7%,33.6%,29.4%,28.9%,28.4%
13249,"Schley, GA        ",8,14.1%,27.0%,34.3%,40.1%,35.0%,34.6%
13251,"Screven, GA        ",8,9.0%,25.2%,37.4%,38.6%,43.1%,37.9%
13253,"Seminole, GA        ",8,19.5%,26.4%,29.6%,36.8%,37.0%,40.3%
13255,"Spalding, GA        ",1,18.7%,25.8%,32.4%,34.7%,36.5%,39.2%
13257,"Stephens, GA        ",7,21.6%,23.4%,30.6%,35.9%,39.7%,40.8%
13259,"Stewart, GA        ",2,13.3%,20.2%,32.1%,37.1%,41.5%,36.0%
13261,"Sumter, GA        ",6,14.5%,21.5%,28.8%,30.2%,34.8%,35.9%
13263,"Talbot, GA        ",2,10.2%,25.9%,35.2%,40.3%,42.8%,41.5%
13265,"Taliaferro, GA        ",8,6.1%,14.4%,36.0%,32.6%,38.6%,42.1%
13267,"Tattnall, GA        ",8,18.5%,29.1%,37.8%,39.2%,43.6%,39.7%
13269,"Taylor, GA        ",8,10.5%,21.6%,31.2%,39.0%,37.2%,38.8%
13271,"Telfair, GA        ",9,14.3%,22.7%,32.5%,40.1%,47.1%,47.6%
13273,"Terrell, GA        ",3,14.7%,19.3%,28.8%,32.8%,36.0%,37.5%
13275,"Thomas, GA        ",4,18.8%,27.3%,33.1%,33.6%,36.8%,31.4%
13277,"Tift, GA        ",5,16.4%,22.9%,27.0%,30.3%,30.8%,33.3%
13279,"Toombs, GA        ",7,16.0%,24.8%,31.7%,35.0%,38.9%,36.5%
13281,"Towns, GA        ",9,18.4%,25.6%,31.7%,33.4%,38.3%,27.8%
13283,"Treutlen, GA        ",9,8.6%,20.5%,33.9%,39.7%,48.1%,44.1%
13285,"Troup, GA        ",4,17.8%,22.9%,32.4%,33.7%,33.9%,36.7%
13287,"Turner, GA        ",9,11.3%,23.5%,35.1%,38.7%,32.4%,34.8%
13289,"Twiggs, GA        ",3,11.3%,23.3%,32.3%,40.7%,42.0%,42.5%
13291,"Union, GA        ",8,11.2%,20.9%,32.9%,35.1%,31.2%,32.5%
13293,"Upson, GA        ",6,20.5%,25.7%,31.9%,37.2%,37.8%,37.8%
13295,"Walker, GA        ",2,22.9%,29.9%,33.3%,35.0%,35.8%,35.5%
13297,"Walton, GA        ",1,16.8%,23.6%,31.6%,35.6%,32.8%,32.1%
13299,"Ware, GA        ",5,18.5%,26.7%,34.0%,38.8%,42.2%,39.9%
13301,"Warren, GA        ",8,12.0%,19.8%,30.3%,34.7%,45.3%,37.2%
13303,"Washington, GA        ",7,11.9%,23.6%,36.5%,38.8%,43.1%,43.9%
13305,"Wayne, GA        ",6,23.7%,30.8%,35.6%,37.1%,40.0%,44.7%
13307,"Webster, GA        ",8,7.1%,22.4%,33.5%,33.9%,45.0%,33.9%
13309,"Wheeler, GA        ",9,7.1%,21.2%,33.6%,41.8%,54.9%,44.4%
13311,"White, GA        ",8,18.0%,27.5%,30.3%,35.1%,33.5%,31.2%
13313,"Whitfield, GA        ",3,19.3%,24.3%,28.2%,29.0%,29.2%,31.6%
13315,"Wilcox, GA        ",9,19.7%,22.8%,33.4%,43.7%,42.8%,39.8%
