FIPS,Name,2023 Rural-urban Continuum Code*,1970,1980,1990,2000,2008-2012,2018-2022
12065,"Jefferson, FL        ",2,6.1%,11.3%,14.7%,16.9%,15.3%,19.5%
12067,"Lafayette, FL        ",9,4.8%,8.5%,5.2%,7.2%,10.8%,8.1%
12069,"Lake, FL        ",1,9.1%,12.6%,12.7%,16.6%,20.2%,25.7%
12071,"Lee, FL        ",2,9.9%,13.3%,16.4%,21.1%,24.6%,30.1%
12073,"Leon, FL        ",2,24.1%,32.0%,37.1%,41.7%,43.5%,47.5%
12075,"Levy, FL        ",2,5.1%,7.8%,8.3%,10.6%,11.4%,16.1%
12077,"Liberty, FL        ",8,5.8%,8.0%,7.3%,7.4%,11.8%,16.8%
12079,"Madison, FL        ",8,7.0%,8.3%,9.7%,10.2%,10.3%,13.0%
12081,"Manatee, FL        ",2,9.6%,12.4%,15.5%,20.8%,26.0%,32.8%
12083,"Marion, FL        ",2,7.4%,9.6%,11.5%,13.7%,17.1%,22.0%
12085,"Martin, FL        ",2,7.9%,16.0%,20.3%,26.3%,29.6%,35.1%
12086,"Miami-Dade, FL        ",1,10.8%,16.8%,18.8%,21.7%,26.3%,32.5%
12087,"Monroe, FL        ",4,9.1%,15.9%,20.3%,25.5%,28.3%,36.3%
12089,"Nassau, FL        ",1,4.9%,9.1%,12.5%,18.9%,22.5%,32.0%
12091,"Okaloosa, FL        ",2,13.2%,16.6%,21.0%,24.2%,27.2%,33.3%
12093,"Okeechobee, FL        ",4,4.7%,5.7%,9.8%,8.9%,10.3%,16.8%
12095,"Orange, FL        ",1,11.6%,15.7%,21.2%,26.1%,29.7%,37.4%
12097,"Osceola, FL        ",1,6.7%,9.2%,11.2%,15.7%,17.5%,26.5%
12099,"Palm Beach, FL        ",1,11.9%,17.1%,22.1%,27.7%,32.5%,38.8%
12101,"Pasco, FL        ",1,4.9%,6.8%,9.1%,13.1%,20.0%,27.1%
12103,"Pinellas, FL        ",1,10.0%,14.6%,18.5%,22.9%,27.2%,35.1%
12105,"Polk, FL        ",2,8.8%,11.4%,12.9%,14.9%,18.2%,21.4%
12107,"Putnam, FL        ",4,6.2%,8.1%,8.3%,9.4%,12.3%,13.3%
12109,"St. Johns, FL        ",1,8.5%,14.4%,23.6%,33.1%,40.7%,47.4%
12111,"St. Lucie, FL        ",2,8.1%,10.9%,13.1%,15.1%,19.1%,25.0%
12113,"Santa Rosa, FL        ",2,9.8%,14.4%,18.6%,22.9%,25.8%,29.9%
12115,"Sarasota, FL        ",2,14.2%,17.7%,21.9%,27.4%,29.9%,38.3%
12117,"Seminole, FL        ",1,9.4%,19.5%,26.3%,31.0%,33.6%,41.7%
12119,"Sumter, FL        ",3,4.7%,7.0%,7.8%,12.2%,22.6%,33.7%
12121,"Suwannee, FL        ",6,5.6%,6.5%,8.2%,10.5%,9.8%,15.9%
12123,"Taylor, FL        ",6,6.4%,8.6%,9.8%,8.9%,11.0%,13.9%
12125,"Union, FL        ",8,3.3%,5.9%,7.9%,7.5%,10.1%,10.0%
12127,"Volusia, FL        ",2,10.7%,13.0%,14.8%,17.6%,21.0%,26.2%
12129,"Wakulla, FL        ",2,1.8%,8.4%,10.1%,15.7%,16.5%,19.7%
12131,"Walton, FL        ",2,6.7%,9.6%,11.9%,16.2%,24.2%,33.1%
12133,"Washington, FL        ",3,4.0%,6.3%,7.4%,9.2%,12.1%,12.4%
53000,Washington,,12.7%,19.0%,22.9%,27.7%,31.6%,38.0%
53001,"Adams, WA        ",6,9.1%,13.4%,12.3%,12.2%,12.3%,14.7%
53003,"Asotin, WA        ",3,8.6%,11.8%,12.4%,18.0%,16.3%,23.1%
53005,"Benton, WA        ",2,15.1%,22.6%,23.3%,26.3%,28.6%,32.3%
53007,"Chelan, WA        ",3,9.7%,14.5%,16.7%,21.9%,24.1%,29.5%
53009,"Clallam, WA        ",5,8.8%,13.8%,16.1%,20.8%,24.6%,30.8%
53011,"Clark, WA        ",1,9.3%,14.2%,16.8%,22.1%,26.0%,32.2%
53013,"Columbia, WA        ",8,8.2%,7.2%,15.1%,17.5%,18.7%,26.6%
53015,"Cowlitz, WA        ",3,7.7%,11.0%,11.3%,13.3%,15.4%,16.6%
53017,"Douglas, WA        ",3,8.9%,12.6%,13.8%,16.2%,17.4%,21.7%
53019,"Ferry, WA        ",8,6.5%,15.2%,12.0%,13.5%,14.0%,18.1%
53021,"Franklin, WA        ",2,10.1%,12.5%,13.4%,13.6%,14.8%,20.0%
53023,"Garfield, WA        ",8,9.6%,12.7%,13.7%,17.0%,24.6%,27.0%
53025,"Grant, WA        ",5,10.0%,11.5%,11.9%,13.7%,14.6%,17.7%
53027,"Grays Harbor, WA        ",4,6.9%,9.8%,11.0%,12.7%,14.4%,17.2%
53029,"Island, WA        ",4,12.9%,17.6%,20.0%,27.0%,30.8%,35.4%
53031,"Jefferson, WA        ",6,9.9%,17.6%,21.8%,28.4%,35.3%,43.5%
53033,"King, WA        ",1,17.3%,26.2%,32.8%,40.0%,46.0%,54.8%
53035,"Kitsap, WA        ",2,10.2%,16.4%,19.8%,25.3%,28.9%,35.3%
53037,"Kittitas, WA        ",4,16.1%,20.7%,22.2%,26.2%,31.7%,36.1%
53039,"Klickitat, WA        ",9,6.0%,9.6%,10.9%,16.4%,18.9%,30.8%
53041,"Lewis, WA        ",4,6.8%,10.5%,11.8%,12.9%,14.9%,19.8%
53043,"Lincoln, WA        ",8,9.1%,14.9%,16.0%,18.8%,19.2%,23.0%
53045,"Mason, WA        ",4,8.6%,11.6%,13.6%,15.6%,18.3%,21.4%
53047,"Okanogan, WA        ",6,8.5%,12.7%,12.0%,15.9%,17.6%,22.6%
53049,"Pacific, WA        ",7,6.0%,9.5%,11.3%,15.2%,16.7%,23.7%
53051,"Pend Oreille, WA        ",8,6.3%,10.5%,12.0%,12.3%,17.1%,21.5%
53053,"Pierce, WA        ",1,10.1%,15.1%,17.5%,20.6%,23.6%,29.3%
53055,"San Juan, WA        ",9,16.5%,31.3%,33.5%,40.2%,44.8%,52.6%
53057,"Skagit, WA        ",3,9.4%,13.2%,16.3%,20.8%,23.6%,28.7%
53059,"Skamania, WA        ",1,9.0%,12.3%,11.7%,16.8%,22.5%,26.4%
53061,"Snohomish, WA        ",1,9.5%,15.3%,19.3%,24.4%,28.8%,35.4%
53063,"Spokane, WA        ",2,11.9%,17.9%,20.6%,25.0%,28.7%,31.9%
53065,"Stevens, WA        ",2,6.4%,10.5%,12.1%,15.3%,18.9%,20.9%
53067,"Thurston, WA        ",2,13.5%,20.3%,24.7%,29.8%,32.0%,36.4%
53069,"Wahkiakum, WA        ",8,4.5%,8.6%,10.4%,14.8%,16.7%,22.1%
53071,"Walla Walla, WA        ",3,12.8%,18.2%,18.8%,23.3%,25.7%,29.9%
53073,"Whatcom, WA        ",3,10.6%,17.9%,22.0%,27.2%,31.9%,37.0%
53075,"Whitman, WA        ",4,24.2%,36.8%,42.6%,44.0%,48.8%,50.9%
53077,"Yakima, WA        ",2,8.6%,11.3%,13.7%,15.3%,15.9%,18.2%
41000,Oregon,,11.8%,17.9%,20.6%,25.1%,29.2%,35.5%
41001,"Baker, OR        ",7,8.3%,13.0%,13.3%,16.4%,20.5%,24.4%
41003,"Benton, OR        ",3,29.6%,36.6%,41.3%,47.4%,48.6%,53.8%
41005,"Clackamas, OR        ",1,13.8%,19.2%,23.6%,28.4%,31.8%,39.2%
41007,"Clatsop, OR        ",4,8.8%,14.3%,16.7%,19.1%,22.1%,25.7%
41009,"Columbia, OR        ",1,7.0%,10.0%,11.0%,14.0%,17.4%,18.4%
41011,"Coos, OR        ",5,7.2%,11.2%,12.3%,15.0%,17.8%,20.6%
41013,"Crook, OR        ",3,5.9%,9.4%,10.1%,12.6%,14.4%,20.9%
41015,"Curry, OR        ",7,6.8%,11.3%,12.8%,16.4%,20.4%,23.7%
41017,"Deschutes, OR        ",3,9.6%,16.6%,18.9%,25.0%,30.5%,40.8%
41019,"Douglas, OR        ",4,7.6%,10.5%,11.7%,13.3%,15.2%,18.9%
41021,"Gilliam, OR        ",9,10.6%,17.1%,18.7%,13.4%,16.1%,21.9%
41023,"Grant, OR        ",9,5.9%,11.2%,12.5%,15.7%,17.5%,19.3%
41025,"Harney, OR        ",9,8.3%,12.7%,14.1%,11.9%,15.7%,14.2%
41027,"Hood River, OR        ",6,6.9%,11.3%,18.0%,23.1%,26.4%,38.3%
41029,"Jackson, OR        ",3,9.6%,15.3%,17.6%,22.3%,24.4%,30.0%
41031,"Jefferson, OR        ",3,8.5%,13.6%,12.2%,13.7%,15.5%,21.2%
41033,"Josephine, OR        ",3,6.6%,10.9%,12.0%,14.1%,16.4%,18.6%
41035,"Klamath, OR        ",5,9.0%,12.4%,12.4%,15.9%,19.5%,20.8%
41037,"Lake, OR        ",9,9.3%,13.1%,14.5%,15.5%,19.8%,19.8%
41039,"Lane, OR        ",2,14.2%,20.4%,22.2%,25.5%,27.5%,33.0%
41041,"Lincoln, OR        ",5,7.4%,14.4%,16.7%,20.8%,24.0%,28.9%
41043,"Linn, OR        ",3,6.8%,10.6%,11.0%,13.4%,16.1%,20.4%
41045,"Malheur, OR        ",6,8.3%,12.0%,13.1%,11.1%,13.7%,14.6%
41047,"Marion, OR        ",2,12.3%,16.7%,17.5%,19.8%,20.8%,25.0%
41049,"Morrow, OR        ",8,7.9%,11.7%,11.8%,11.0%,11.1%,11.3%
41051,"Multnomah, OR        ",1,12.0%,19.8%,23.7%,30.7%,39.2%,47.7%
41053,"Polk, OR        ",2,13.5%,20.0%,21.2%,25.3%,28.5%,31.0%
41055,"Sherman, OR        ",9,11.2%,14.3%,18.9%,19.0%,14.8%,16.0%
41057,"Tillamook, OR        ",7,7.7%,11.2%,13.1%,17.6%,20.3%,23.8%
41059,"Umatilla, OR        ",4,8.8%,12.2%,13.3%,16.0%,14.8%,18.2%
41061,"Union, OR        ",7,10.6%,15.5%,17.0%,21.8%,21.5%,23.8%
41063,"Wallowa, OR        ",9,10.1%,13.2%,15.7%,20.3%,22.3%,32.0%
41065,"Wasco, OR        ",7,8.2%,13.6%,14.5%,15.7%,20.6%,22.0%
41067,"Washington, OR        ",1,17.9%,25.9%,29.8%,34.5%,39.5%,45.8%
41069,"Wheeler, OR        ",9,7.4%,6.9%,10.7%,14.3%,14.8%,20.0%
41071,"Yamhill, OR        ",1,9.7%,15.0%,17.1%,20.6%,22.5%,29.3%
13000,Georgia,,9.2%,14.6%,19.3%,24.3%,27.8%,33.6%
13001,"Appling, GA        ",7,2.9%,6.5%,8.2%,8.4%,11.3%,10.0%
13003,"Atkinson, GA        ",9,3.1%,5.0%,6.4%,6.9%,8.7%,11.4%
13005,"Bacon, GA        ",9,3.8%,6.9%,6.6%,6.6%,8.9%,10.9%
13007,"Baker, GA        ",8,2.8%,4.9%,9.4%,10.7%,7.0%,19.0%
13009,"Baldwin, GA        ",4,7.5%,15.4%,13.3%,16.2%,19.3%,23.5%
13011,"Banks, GA        ",8,3.2%,5.0%,6.4%,8.6%,11.9%,17.1%
13013,"Barrow, GA        ",1,5.0%,7.5%,9.2%,10.9%,16.6%,21.2%
13015,"Bartow, GA        ",1,4.7%,6.3%,9.0%,14.1%,16.2%,21.0%
13017,"Ben Hill, GA        ",7,5.2%,8.1%,7.6%,9.5%,10.4%,12.2%
13019,"Berrien, GA        ",8,2.6%,5.9%,7.5%,9.4%,11.8%,14.8%
13021,"Bibb, GA        ",3,9.2%,13.0%,17.0%,21.3%,22.8%,25.9%
13023,"Bleckley, GA        ",6,4.0%,9.0%,10.3%,12.5%,13.5%,18.6%
13025,"Brantley, GA        ",3,2.3%,4.8%,5.8%,6.2%,6.1%,10.3%
13027,"Brooks, GA        ",3,5.1%,7.5%,9.1%,11.3%,12.6%,14.7%
13029,"Bryan, GA        ",2,4.2%,4.4%,11.8%,19.3%,29.4%,33.9%
13031,"Bulloch, GA        ",4,10.8%,15.6%,19.9%,25.4%,26.9%,29.6%
13033,"Burke, GA        ",2,4.9%,7.9%,9.6%,9.5%,9.4%,14.7%
13035,"Butts, GA        ",1,5.5%,6.4%,7.2%,8.6%,9.0%,13.1%
13037,"Calhoun, GA        ",8,5.4%,7.2%,10.1%,11.7%,12.0%,11.4%
13039,"Camden, GA        ",4,5.9%,8.2%,13.5%,16.0%,18.8%,21.7%
13043,"Candler, GA        ",9,7.6%,9.0%,9.9%,10.2%,15.1%,12.2%
13045,"Carroll, GA        ",1,7.5%,11.2%,12.0%,16.5%,18.8%,21.2%
13047,"Catoosa, GA        ",2,2.9%,7.3%,8.1%,13.8%,17.8%,23.2%
13049,"Charlton, GA        ",8,5.5%,5.5%,6.4%,6.4%,9.9%,12.1%
13051,"Chatham, GA        ",2,8.8%,14.1%,18.6%,25.0%,30.3%,36.1%
13053,"Chattahoochee, GA        ",2,19.4%,20.4%,20.2%,25.0%,28.1%,30.0%
13055,"Chattooga, GA        ",6,2.6%,5.9%,5.9%,7.7%,8.2%,9.5%
13057,"Cherokee, GA        ",1,4.1%,9.7%,18.4%,27.0%,34.6%,39.5%
13059,"Clarke, GA        ",3,27.8%,35.0%,37.5%,39.8%,40.8%,47.9%
13061,"Clay, GA        ",9,7.7%,9.8%,11.2%,10.1%,9.2%,16.6%
13063,"Clayton, GA        ",1,6.0%,10.3%,14.7%,16.6%,17.5%,20.6%
13065,"Clinch, GA        ",8,4.1%,6.5%,6.7%,10.4%,15.0%,12.9%
13067,"Cobb, GA        ",1,9.7%,23.0%,33.0%,39.8%,43.8%,49.7%
13069,"Coffee, GA        ",7,5.3%,8.2%,11.1%,10.0%,11.3%,12.9%
13071,"Colquitt, GA        ",6,4.3%,8.4%,10.0%,11.4%,13.3%,14.7%
13073,"Columbia, GA        ",2,5.4%,15.4%,23.9%,32.0%,34.7%,37.4%
13075,"Cook, GA        ",6,4.0%,5.7%,6.5%,8.1%,11.9%,16.0%
13077,"Coweta, GA        ",1,7.1%,9.8%,13.3%,20.6%,26.1%,34.1%
13079,"Crawford, GA        ",3,2.6%,6.5%,5.7%,6.8%,12.6%,11.3%
13081,"Crisp, GA        ",6,7.7%,9.0%,10.0%,12.8%,13.7%,14.1%
13083,"Dade, GA        ",2,3.5%,7.8%,8.0%,10.9%,16.9%,18.3%
13085,"Dawson, GA        ",1,2.5%,4.4%,8.6%,18.1%,23.5%,35.5%
13087,"Decatur, GA        ",6,4.4%,8.4%,11.7%,12.1%,13.9%,15.0%
13089,"DeKalb, GA        ",1,19.3%,27.9%,32.7%,36.3%,39.2%,46.7%
13091,"Dodge, GA        ",7,4.2%,6.6%,8.0%,11.6%,14.0%,14.7%
13093,"Dooly, GA        ",8,4.3%,7.9%,9.5%,9.6%,9.7%,13.0%
13095,"Dougherty, GA        ",3,9.5%,14.2%,17.0%,17.8%,18.1%,23.3%
13097,"Douglas, GA        ",1,5.1%,9.1%,12.0%,19.2%,24.8%,29.9%
13099,"Early, GA        ",8,4.3%,8.6%,9.4%,12.6%,12.1%,14.0%
13101,"Echols, GA        ",3,1.2%,3.9%,4.7%,8.4%,7.5%,14.0%
13103,"Effingham, GA        ",2,2.8%,5.2%,7.6%,13.6%,16.9%,25.2%
13105,"Elbert, GA        ",6,5.5%,7.9%,8.0%,9.8%,11.2%,14.1%
13107,"Emanuel, GA        ",7,4.9%,7.2%,9.1%,10.1%,9.9%,11.6%
13109,"Evans, GA        ",8,5.1%,7.2%,8.6%,9.0%,13.7%,16.4%
13111,"Fannin, GA        ",8,3.5%,5.2%,7.8%,10.4%,15.4%,23.2%
13113,"Fayette, GA        ",1,4.7%,16.5%,25.8%,36.2%,42.1%,47.2%
13115,"Floyd, GA        ",3,7.1%,11.8%,13.7%,15.8%,18.2%,22.3%
13117,"Forsyth, GA        ",1,2.6%,8.7%,15.6%,34.6%,43.3%,56.2%
13119,"Franklin, GA        ",8,5.6%,7.9%,9.5%,10.3%,13.5%,16.8%
13121,"Fulton, GA        ",1,14.5%,23.0%,31.6%,41.4%,48.4%,57.1%
13123,"Gilmer, GA        ",6,4.0%,6.6%,8.6%,12.9%,14.5%,23.4%
13125,"Glascock, GA        ",9,1.1%,4.8%,5.3%,6.5%,9.3%,12.9%
13127,"Glynn, GA        ",3,10.0%,14.9%,19.9%,23.8%,25.8%,30.6%
13129,"Gordon, GA        ",4,3.7%,6.8%,9.2%,10.6%,13.9%,16.7%
13131,"Grady, GA        ",6,5.6%,7.0%,7.7%,10.6%,10.7%,15.8%
13133,"Greene, GA        ",8,5.7%,6.3%,8.8%,17.6%,19.4%,33.4%
13135,"Gwinnett, GA        ",1,6.3%,18.9%,29.6%,34.1%,34.5%,38.9%
13137,"Habersham, GA        ",6,6.9%,9.3%,12.0%,15.8%,17.9%,22.9%
13139,"Hall, GA        ",3,7.5%,12.2%,15.4%,18.7%,22.1%,25.5%
13141,"Hancock, GA        ",9,5.1%,6.4%,6.8%,9.8%,11.0%,9.6%
13143,"Haralson, GA        ",1,3.1%,6.9%,7.5%,9.0%,12.4%,17.9%
13145,"Harris, GA        ",2,7.1%,11.8%,13.6%,21.1%,28.2%,32.4%
13147,"Hart, GA        ",6,4.1%,7.7%,9.1%,13.5%,15.7%,18.3%
13149,"Heard, GA        ",1,3.9%,4.4%,5.7%,7.3%,7.4%,11.6%
13151,"Henry, GA        ",1,3.8%,9.4%,10.7%,19.5%,25.0%,27.5%
13153,"Houston, GA        ",3,9.6%,13.2%,16.0%,19.8%,24.8%,32.0%
13155,"Irwin, GA        ",9,5.5%,5.7%,8.3%,9.9%,7.9%,16.8%
13157,"Jackson, GA        ",4,5.1%,8.0%,9.0%,11.7%,18.7%,26.5%
13159,"Jasper, GA        ",1,6.4%,9.2%,10.8%,11.5%,14.3%,18.3%
13161,"Jeff Davis, GA        ",9,4.5%,7.4%,8.3%,9.4%,11.4%,11.5%
13163,"Jefferson, GA        ",8,4.4%,6.8%,6.2%,9.1%,8.7%,10.8%
13165,"Jenkins, GA        ",9,4.5%,7.0%,7.7%,10.8%,13.8%,9.1%
13167,"Johnson, GA        ",9,3.5%,6.2%,4.9%,7.8%,11.9%,9.5%
13169,"Jones, GA        ",3,5.0%,10.6%,12.0%,15.0%,19.4%,17.9%
13171,"Lamar, GA        ",6,5.7%,8.0%,10.0%,11.3%,12.7%,17.5%
13173,"Lanier, GA        ",3,4.0%,5.3%,5.4%,8.8%,12.8%,18.4%
13175,"Laurens, GA        ",4,5.1%,9.8%,12.0%,14.4%,15.5%,17.1%
13177,"Lee, GA        ",3,5.7%,9.3%,13.7%,17.0%,19.1%,32.6%
13179,"Liberty, GA        ",3,9.1%,12.3%,13.4%,14.5%,17.7%,20.2%
13181,"Lincoln, GA        ",2,4.3%,7.3%,8.2%,10.1%,11.4%,16.2%
13183,"Long, GA        ",3,3.9%,6.3%,5.2%,5.8%,11.8%,13.0%
13185,"Lowndes, GA        ",3,10.1%,13.2%,16.3%,19.7%,22.3%,26.1%
13187,"Lumpkin, GA        ",1,5.2%,9.8%,11.1%,17.6%,22.8%,32.0%
13189,"McDuffie, GA        ",2,4.4%,8.2%,10.4%,11.7%,13.3%,18.4%
13191,"McIntosh, GA        ",3,5.6%,6.0%,8.7%,11.1%,14.6%,17.8%
13193,"Macon, GA        ",8,7.7%,8.0%,10.1%,10.0%,9.8%,10.1%
13195,"Madison, GA        ",3,2.7%,7.5%,9.7%,10.9%,13.4%,19.6%
13197,"Marion, GA        ",2,4.1%,6.1%,4.6%,8.9%,8.4%,12.2%
13199,"Meriwether, GA        ",1,6.4%,7.1%,6.7%,10.8%,9.8%,13.1%
13201,"Miller, GA        ",9,5.4%,7.1%,8.2%,11.3%,10.6%,19.7%
13205,"Mitchell, GA        ",6,4.6%,7.5%,7.8%,9.1%,9.6%,12.3%
13207,"Monroe, GA        ",3,6.5%,9.4%,12.9%,17.1%,18.7%,28.6%
13209,"Montgomery, GA        ",9,4.1%,7.1%,10.1%,13.5%,15.6%,19.6%
13211,"Morgan, GA        ",1,6.8%,9.6%,11.0%,18.7%,22.3%,29.9%
13213,"Murray, GA        ",3,3.3%,5.1%,5.5%,7.2%,8.3%,11.4%
13215,"Muscogee, GA        ",2,10.0%,12.9%,16.6%,20.3%,22.1%,28.4%
13217,"Newton, GA        ",1,4.6%,8.6%,9.5%,14.5%,19.1%,22.6%
13219,"Oconee, GA        ",3,9.1%,21.2%,28.4%,39.8%,44.1%,53.5%
13221,"Oglethorpe, GA        ",3,3.3%,9.5%,12.8%,15.6%,18.2%,22.7%
13223,"Paulding, GA        ",1,2.1%,4.3%,7.6%,15.2%,23.0%,26.5%
13225,"Peach, GA        ",3,11.0%,14.4%,15.2%,16.8%,18.4%,22.9%
13227,"Pickens, GA        ",1,3.1%,6.9%,9.0%,15.6%,22.0%,24.3%
13229,"Pierce, GA        ",8,3.6%,6.9%,6.3%,10.1%,10.1%,17.0%
13231,"Pike, GA        ",1,4.1%,8.7%,9.3%,14.0%,16.6%,20.2%
13233,"Polk, GA        ",4,3.4%,5.7%,6.8%,8.0%,11.4%,14.4%
13235,"Pulaski, GA        ",8,6.9%,8.6%,10.7%,12.9%,7.8%,12.9%
13237,"Putnam, GA        ",8,7.5%,9.2%,11.7%,14.4%,18.8%,25.6%
13239,"Quitman, GA        ",8,1.9%,6.6%,7.3%,6.1%,5.6%,10.9%
13241,"Rabun, GA        ",9,7.2%,11.4%,11.6%,17.6%,25.9%,28.0%
13243,"Randolph, GA        ",8,3.6%,6.7%,6.0%,9.5%,14.4%,12.4%
13245,"Richmond, GA        ",2,10.9%,14.8%,17.3%,18.7%,19.8%,23.6%
13247,"Rockdale, GA        ",1,5.3%,12.6%,18.1%,23.4%,25.0%,28.1%
13249,"Schley, GA        ",8,3.3%,8.4%,8.0%,13.7%,13.4%,18.0%
13251,"Screven, GA        ",8,5.0%,7.4%,8.6%,10.2%,11.7%,15.7%
13253,"Seminole, GA        ",8,5.2%,7.3%,7.8%,8.6%,11.9%,17.0%
13255,"Spalding, GA        ",1,6.0%,9.0%,11.1%,12.5%,15.6%,18.3%
13257,"Stephens, GA        ",7,5.7%,9.9%,13.1%,14.1%,14.7%,16.0%
13259,"Stewart, GA        ",2,4.9%,7.7%,8.0%,9.3%,8.3%,15.8%
13261,"Sumter, GA        ",6,7.6%,14.0%,15.9%,19.3%,19.8%,22.2%
13263,"Talbot, GA        ",2,6.7%,8.0%,7.1%,7.9%,12.1%,15.4%
13265,"Taliaferro, GA        ",8,3.7%,5.4%,5.6%,8.4%,10.5%,11.5%
13267,"Tattnall, GA        ",8,2.6%,5.2%,6.5%,7.9%,11.3%,14.0%
13269,"Taylor, GA        ",8,4.4%,7.4%,7.1%,8.5%,8.8%,16.3%
13271,"Telfair, GA        ",9,5.1%,8.1%,8.6%,8.3%,12.3%,8.0%
13273,"Terrell, GA        ",3,4.8%,9.0%,9.2%,10.7%,8.3%,13.0%
13275,"Thomas, GA        ",4,6.7%,11.2%,13.4%,16.8%,16.7%,23.8%
13277,"Tift, GA        ",5,8.1%,11.5%,14.0%,15.6%,17.1%,18.7%
13279,"Toombs, GA        ",7,5.2%,9.2%,11.4%,12.7%,14.7%,16.4%
13281,"Towns, GA        ",9,5.0%,9.9%,11.4%,17.4%,22.2%,32.0%
13283,"Treutlen, GA        ",9,6.7%,6.2%,6.3%,8.5%,9.1%,13.7%
13285,"Troup, GA        ",4,6.1%,10.9%,13.6%,18.0%,19.7%,20.3%
13287,"Turner, GA        ",9,3.6%,7.8%,7.2%,10.5%,12.0%,10.5%
13289,"Twiggs, GA        ",3,2.2%,5.1%,4.8%,5.4%,10.9%,10.6%
13291,"Union, GA        ",8,4.3%,8.0%,10.1%,12.5%,20.6%,25.5%
13293,"Upson, GA        ",6,4.6%,7.1%,9.0%,11.5%,11.0%,15.4%
13295,"Walker, GA        ",2,4.8%,6.0%,8.4%,10.2%,13.9%,19.7%
13297,"Walton, GA        ",1,4.5%,7.3%,9.4%,13.0%,18.9%,24.3%
13299,"Ware, GA        ",5,6.9%,10.0%,10.4%,11.4%,14.0%,15.1%
13301,"Warren, GA        ",8,3.4%,7.5%,4.2%,8.0%,6.5%,11.1%
13303,"Washington, GA        ",7,4.8%,8.7%,9.8%,10.5%,10.9%,17.4%
13305,"Wayne, GA        ",6,5.6%,7.2%,9.6%,11.6%,11.3%,14.1%
13307,"Webster, GA        ",8,3.3%,6.7%,5.5%,9.1%,11.9%,9.3%
13309,"Wheeler, GA        ",9,4.8%,7.5%,8.6%,7.1%,8.4%,12.8%
13311,"White, GA        ",8,4.2%,9.6%,13.6%,15.4%,20.0%,23.1%
13313,"Whitfield, GA        ",3,5.5%,9.7%,12.0%,12.8%,14.7%,18.6%
13315,"Wilcox, GA        ",9,3.1%,6.1%,7.6%,7.0%,8.2%,13.6%
